ROI,n_subjects,n_rows,beta_time,p_time,beta_dose,p_dose,beta_time_dose,p_time_dose,q_time_dose_fdr
hypothalamus.HypVINN_Hypophysis,95,190,5.777919099424814,0.6153345445026004,-4.065847074693655,0.8353987844648605,-3.182927469904571,0.7956286759659463,0.9714897161175252
aseg+DKT_ctx-lh-inferiorparietal,95,190,-45.425038330976264,0.3531972585969072,136.19861702246686,0.29409335270395065,12.782074642895529,0.8068769566205106,0.9714897161175252
aseg+DKT_ctx-rh-rostralanteriorcingulate,95,190,-27.67469823992249,0.0036769419169711734,-38.17074028417605,0.3146209480177812,-2.3725868120378055,0.8157373425139541,0.9714897161175252
aseg+DKT_Right-Pallidum,95,190,-0.06407367512940776,0.9943942058937244,7.237602348351149,0.6967166045745854,2.187288669183942,0.8224244146782803,0.9714897161175252
aseg+DKT_ctx-lh-supramarginal,95,190,-29.23594048476209,0.3739509149666025,157.7636265106512,0.1381653549205209,-7.259075809147628,0.8363396956709522,0.9714897161175252
aseg+DKT_ctx-lh-parsopercularis,95,190,-4.180664673319693,0.7729963908080617,48.135150427349224,0.44976844356914647,-3.094163694095246,0.8416447648268444,0.9714897161175252
aseg+DKT_ctx-rh-superiortemporal,95,190,-122.47532967978127,0.00027088641510432485,-129.03773106137436,0.22238575719305242,7.02187745175736,0.8450986626178575,0.9714897161175252
hypothalamus.HypVINN_L-C.mammilare,95,190,0.8640029144466564,0.5452713762061949,-2.30246537520757,0.2715582378864816,0.2896920600343862,0.8494918833427427,0.9714897161175252
aseg+DKT_ctx-rh-supramarginal,95,190,15.749046726045613,0.5747865357467228,-9.806089963994555,0.907659612409194,5.353418537074496,0.8583693965806672,0.9714897161175252
cerebellum.CerebNet_Cbm_Vermis,95,190,-4.56020046873124,0.8458992977791967,27.903004745293,0.6103495780490713,-4.30810893838405,0.8635869699591907,0.9714897161175252
aseg+DKT_ctx-rh-entorhinal,95,190,-24.41426923600037,0.05091535824170974,16.43703488714076,0.3680031611590566,-2.1409878460002294,0.8727311448140311,0.9714897161175252
cerebellum.CerebNet_Cbm_Left_V,95,190,5.858630443235078,0.7374462682537768,-52.70115137548233,0.14992360344486563,-2.9571165059814355,0.8741934534797171,0.9714897161175252
aseg+DKT_Left-VentralDC,95,190,7.864974362623111,0.42743357742616317,10.445182602178765,0.6929244734603882,-1.675428329917232,0.874305633047914,0.9714897161175252
aseg+DKT_ctx-rh-parstriangularis,95,190,-9.551284494892412,0.613986145157177,22.65631339570704,0.7146740578793553,-3.09155150861789,0.8785757459180188,0.9714897161175252
aseg+DKT_ctx-lh-lingual,95,190,-41.200913195314435,0.17116097265213093,35.36613373341174,0.6494761409187448,4.8300350161643735,0.8806694749948699,0.9714897161175252
aseg+DKT_ctx-rh-cuneus,95,190,22.12967672186755,0.36598906446250734,-0.2357110602525529,0.9965111126806728,-3.471442774467474,0.8944330582140549,0.9714897161175252
aseg+DKT_ctx-rh-parsorbitalis,95,190,-33.81205216345191,0.015211249289267705,12.321534581306155,0.6959345453842003,1.853134247674585,0.9009321241781015,0.9714897161175252
hypothalamus.HypVINN_R-C.mammilare,95,190,0.7880882857699829,0.6191076405069064,-1.9464026201921665,0.38295125563988086,0.20047116137212323,0.9058100407194906,0.9714897161175252
aseg+DKT_Right-Hippocampus,95,190,26.25547676594675,0.021509303348683458,-27.138694989250347,0.4116707699472322,-1.4402046441843497,0.9060656286673469,0.9714897161175252
aseg+DKT_4th-Ventricle,95,190,-13.412314601318815,0.08548429226816481,-27.016452600158086,0.38830952652336825,0.9384343926810131,0.9103470067115271,0.9714897161175252
aseg+DKT_ctx-lh-superiorfrontal,95,190,-116.96615608086049,0.040818638351486684,-232.1088566871171,0.19940908578872152,-5.990144665144424,0.921916110545672,0.976548176355786
hypothalamus.HypVINN_L-Optic-tract,95,190,0.954184447996402,0.7849621634138914,-0.684670132283836,0.8778209955515536,-0.24620268350771188,0.9474751095967296,0.991126284151527
hypothalamus.HypVINN_L-Chiasma-Opticum,95,190,2.6090166948383753,0.5002367330731143,-0.784827275407009,0.8723897340075678,0.26175321174029836,0.949540565935379,0.991126284151527
aseg+DKT_ctx-rh-posteriorcingulate,95,190,-6.805109133439073,0.6280479102076849,31.1041896491275,0.4667217748971376,0.6756609884136471,0.9640974386664728,0.9960153959698705
aseg+DKT_ctx-rh-rostralmiddlefrontal,95,190,-39.02997898271225,0.2797060158874557,-394.6712855411678,0.0017467274632540788,-0.8647516506636606,0.9821191073012571,0.9960153959698705
cerebellum.CerebNet_Cbm_Right_V,95,190,13.264133170221886,0.5334399727450858,-65.20466299282148,0.11297934860115944,-0.47383421239040674,0.983391605413755,0.9960153959698705
aseg+DKT_ctx-rh-paracentral,95,190,-36.30832135363535,0.11029707322468085,24.047551851181595,0.6080422954223137,-0.19105859830796007,0.9937264602748274,0.9960153959698705
aseg+DKT_ctx-rh-pericalcarine,95,190,17.59286739219093,0.36123274682697815,60.106721980759005,0.13206863091991153,-0.158385132065017,0.9938631819369094,0.9960153959698705
aseg+DKT_Left-Putamen,95,190,-14.491638357576095,0.32806988052259456,14.677903780978227,0.7045504360645081,-0.07907945407325258,0.9960153959698705,0.9960153959698705
